city,occupation,0
"Hinesville, GA",Legal,10.0
"Hinesville, GA","Life, Physical, and Social Science",20.0
"Hinesville, GA","Arts, Design, Entertainment, Sports, and Media",6.0
"Hinesville, GA",Community and Social Service,31.0
"Hinesville, GA",Architecture and Engineering,28.0
"Hinesville, GA",Protective Service,54.0
"Hinesville, GA",Healthcare Support,38.0
"Hinesville, GA",Building and Grounds Cleaning and Maintenance,54.0
"Hinesville, GA",Computer and Mathematical,29.0
"Hinesville, GA",Personal Care and Service,29.0
"Hinesville, GA","Installation, Maintenance, and Repair",91.0
"Hinesville, GA",Construction and Extraction,48.0
"Hinesville, GA",Management,75.0
"Hinesville, GA",Business and Financial Operations,93.0
"Hinesville, GA",Production,112.0
"Hinesville, GA",Healthcare Practitioners and Technical,89.0
"Hinesville, GA","Education, Training, and Library",210.0
"Hinesville, GA",Transportation and Material Moving,77.0
"Hinesville, GA",Food Preparation and Serving Related,171.0
"Hinesville, GA",Sales and Related,146.0
"Hinesville, GA",Office and Administrative Support,262.0
"Sebring, FL",Legal,8.0
"Sebring, FL","Life, Physical, and Social Science",11.0
"Sebring, FL","Arts, Design, Entertainment, Sports, and Media",15.0
"Sebring, FL",Community and Social Service,25.0
"Sebring, FL",Architecture and Engineering,10.0
"Sebring, FL",Protective Service,48.0
"Sebring, FL",Healthcare Support,131.0
"Sebring, FL",Building and Grounds Cleaning and Maintenance,96.0
"Sebring, FL",Computer and Mathematical,22.0
"Sebring, FL",Personal Care and Service,84.0
"Sebring, FL","Installation, Maintenance, and Repair",90.0
"Sebring, FL",Construction and Extraction,98.0
"Sebring, FL",Management,55.0
"Sebring, FL",Business and Financial Operations,63.0
"Sebring, FL",Production,59.0
"Sebring, FL",Healthcare Practitioners and Technical,218.0
"Sebring, FL","Education, Training, and Library",162.0
"Sebring, FL",Transportation and Material Moving,112.0
"Sebring, FL",Food Preparation and Serving Related,271.0
"Sebring, FL",Sales and Related,347.0
"Sebring, FL",Office and Administrative Support,472.0
"The Villages, FL",Legal,8.0
"The Villages, FL","Life, Physical, and Social Science",19.0
"The Villages, FL","Arts, Design, Entertainment, Sports, and Media",17.0
"The Villages, FL",Community and Social Service,26.0
"The Villages, FL",Architecture and Engineering,20.0
"The Villages, FL",Protective Service,176.0
"The Villages, FL",Healthcare Support,92.0
"The Villages, FL",Building and Grounds Cleaning and Maintenance,86.0
"The Villages, FL",Computer and Mathematical,20.0
"The Villages, FL",Personal Care and Service,125.0
"The Villages, FL","Installation, Maintenance, and Repair",82.0
"The Villages, FL",Construction and Extraction,150.0
"The Villages, FL",Management,70.0
"The Villages, FL",Business and Financial Operations,70.0
"The Villages, FL",Production,68.0
"The Villages, FL",Healthcare Practitioners and Technical,202.0
"The Villages, FL","Education, Training, and Library",0.0
"The Villages, FL",Transportation and Material Moving,115.0
"The Villages, FL",Food Preparation and Serving Related,408.0
"The Villages, FL",Sales and Related,298.0
"The Villages, FL",Office and Administrative Support,348.0
"Grants Pass, OR",Legal,7.0
"Grants Pass, OR","Life, Physical, and Social Science",20.0
"Grants Pass, OR","Arts, Design, Entertainment, Sports, and Media",36.0
"Grants Pass, OR",Community and Social Service,71.0
"Grants Pass, OR",Architecture and Engineering,16.0
"Grants Pass, OR",Protective Service,38.0
"Grants Pass, OR",Healthcare Support,76.0
"Grants Pass, OR",Building and Grounds Cleaning and Maintenance,91.0
"Grants Pass, OR",Computer and Mathematical,33.0
"Grants Pass, OR",Personal Care and Service,177.0
"Grants Pass, OR","Installation, Maintenance, and Repair",67.0
"Grants Pass, OR",Construction and Extraction,72.0
"Grants Pass, OR",Management,109.0
"Grants Pass, OR",Business and Financial Operations,42.0
"Grants Pass, OR",Production,167.0
"Grants Pass, OR",Healthcare Practitioners and Technical,133.0
"Grants Pass, OR","Education, Training, and Library",103.0
"Grants Pass, OR",Transportation and Material Moving,134.0
"Grants Pass, OR",Food Preparation and Serving Related,252.0
"Grants Pass, OR",Sales and Related,293.0
"Grants Pass, OR",Office and Administrative Support,474.0
"Walla Walla, WA",Legal,12.0
"Walla Walla, WA","Life, Physical, and Social Science",41.0
"Walla Walla, WA","Arts, Design, Entertainment, Sports, and Media",28.0
"Walla Walla, WA",Community and Social Service,43.0
"Walla Walla, WA",Architecture and Engineering,71.0
"Walla Walla, WA",Protective Service,101.0
"Walla Walla, WA",Healthcare Support,112.0
"Walla Walla, WA",Building and Grounds Cleaning and Maintenance,89.0
"Walla Walla, WA",Computer and Mathematical,24.0
"Walla Walla, WA",Personal Care and Service,60.0
"Walla Walla, WA","Installation, Maintenance, and Repair",101.0
"Walla Walla, WA",Construction and Extraction,74.0
"Walla Walla, WA",Management,100.0
"Walla Walla, WA",Business and Financial Operations,122.0
"Walla Walla, WA",Production,242.0
"Walla Walla, WA",Healthcare Practitioners and Technical,167.0
"Walla Walla, WA","Education, Training, and Library",208.0
"Walla Walla, WA",Transportation and Material Moving,90.0
"Walla Walla, WA",Food Preparation and Serving Related,216.0
"Walla Walla, WA",Sales and Related,214.0
"Walla Walla, WA",Office and Administrative Support,355.0
"Danville, IL",Legal,12.0
"Danville, IL","Life, Physical, and Social Science",15.0
"Danville, IL","Arts, Design, Entertainment, Sports, and Media",16.0
"Danville, IL",Community and Social Service,26.0
"Danville, IL",Architecture and Engineering,30.0
"Danville, IL",Protective Service,76.0
"Danville, IL",Healthcare Support,0.0
"Danville, IL",Building and Grounds Cleaning and Maintenance,63.0
"Danville, IL",Computer and Mathematical,28.0
"Danville, IL",Personal Care and Service,38.0
"Danville, IL","Installation, Maintenance, and Repair",118.0
"Danville, IL",Construction and Extraction,59.0
"Danville, IL",Management,141.0
"Danville, IL",Business and Financial Operations,94.0
"Danville, IL",Production,284.0
"Danville, IL",Healthcare Practitioners and Technical,139.0
"Danville, IL","Education, Training, and Library",167.0
"Danville, IL",Transportation and Material Moving,234.0
"Danville, IL",Food Preparation and Serving Related,231.0
"Danville, IL",Sales and Related,270.0
"Danville, IL",Office and Administrative Support,521.0
"Lewiston, ID-WA",Legal,10.0
"Lewiston, ID-WA","Life, Physical, and Social Science",20.0
"Lewiston, ID-WA","Arts, Design, Entertainment, Sports, and Media",24.0
"Lewiston, ID-WA",Community and Social Service,42.0
"Lewiston, ID-WA",Architecture and Engineering,25.0
"Lewiston, ID-WA",Protective Service,49.0
"Lewiston, ID-WA",Healthcare Support,98.0
"Lewiston, ID-WA",Building and Grounds Cleaning and Maintenance,85.0
"Lewiston, ID-WA",Computer and Mathematical,23.0
"Lewiston, ID-WA",Personal Care and Service,86.0
"Lewiston, ID-WA","Installation, Maintenance, and Repair",157.0
"Lewiston, ID-WA",Construction and Extraction,107.0
"Lewiston, ID-WA",Management,117.0
"Lewiston, ID-WA",Business and Financial Operations,73.0
"Lewiston, ID-WA",Production,329.0
"Lewiston, ID-WA",Healthcare Practitioners and Technical,186.0
"Lewiston, ID-WA","Education, Training, and Library",147.0
"Lewiston, ID-WA",Transportation and Material Moving,156.0
"Lewiston, ID-WA",Food Preparation and Serving Related,234.0
"Lewiston, ID-WA",Sales and Related,269.0
"Lewiston, ID-WA",Office and Administrative Support,364.0
"Carson City, NV",Legal,37.0
"Carson City, NV","Life, Physical, and Social Science",46.0
"Carson City, NV","Arts, Design, Entertainment, Sports, and Media",22.0
"Carson City, NV",Community and Social Service,44.0
"Carson City, NV",Architecture and Engineering,69.0
"Carson City, NV",Protective Service,93.0
"Carson City, NV",Healthcare Support,78.0
"Carson City, NV",Building and Grounds Cleaning and Maintenance,74.0
"Carson City, NV",Computer and Mathematical,80.0
"Carson City, NV",Personal Care and Service,93.0
"Carson City, NV","Installation, Maintenance, and Repair",114.0
"Carson City, NV",Construction and Extraction,74.0
"Carson City, NV",Management,159.0
"Carson City, NV",Business and Financial Operations,194.0
"Carson City, NV",Production,167.0
"Carson City, NV",Healthcare Practitioners and Technical,180.0
"Carson City, NV","Education, Training, and Library",160.0
"Carson City, NV",Transportation and Material Moving,92.0
"Carson City, NV",Food Preparation and Serving Related,248.0
"Carson City, NV",Sales and Related,238.0
"Carson City, NV",Office and Administrative Support,519.0
"Kokomo, IN",Legal,15.0
"Kokomo, IN","Life, Physical, and Social Science",17.0
"Kokomo, IN","Arts, Design, Entertainment, Sports, and Media",34.0
"Kokomo, IN",Community and Social Service,44.0
"Kokomo, IN",Architecture and Engineering,106.0
"Kokomo, IN",Protective Service,45.0
"Kokomo, IN",Healthcare Support,114.0
"Kokomo, IN",Building and Grounds Cleaning and Maintenance,84.0
"Kokomo, IN",Computer and Mathematical,42.0
"Kokomo, IN",Personal Care and Service,122.0
"Kokomo, IN","Installation, Maintenance, and Repair",178.0
"Kokomo, IN",Construction and Extraction,0.0
"Kokomo, IN",Management,135.0
"Kokomo, IN",Business and Financial Operations,83.0
"Kokomo, IN",Production,0.0
"Kokomo, IN",Healthcare Practitioners and Technical,230.0
"Kokomo, IN","Education, Training, and Library",237.0
"Kokomo, IN",Transportation and Material Moving,132.0
"Kokomo, IN",Food Preparation and Serving Related,437.0
"Kokomo, IN",Sales and Related,410.0
"Kokomo, IN",Office and Administrative Support,393.0
"Pine Bluff, AR",Legal,12.0
"Pine Bluff, AR","Life, Physical, and Social Science",47.0
"Pine Bluff, AR","Arts, Design, Entertainment, Sports, and Media",13.0
"Pine Bluff, AR",Community and Social Service,51.0
"Pine Bluff, AR",Architecture and Engineering,29.0
"Pine Bluff, AR",Protective Service,201.0
"Pine Bluff, AR",Healthcare Support,117.0
"Pine Bluff, AR",Building and Grounds Cleaning and Maintenance,69.0
"Pine Bluff, AR",Computer and Mathematical,25.0
"Pine Bluff, AR",Personal Care and Service,93.0
"Pine Bluff, AR","Installation, Maintenance, and Repair",154.0
"Pine Bluff, AR",Construction and Extraction,96.0
"Pine Bluff, AR",Management,128.0
"Pine Bluff, AR",Business and Financial Operations,107.0
"Pine Bluff, AR",Production,357.0
"Pine Bluff, AR",Healthcare Practitioners and Technical,205.0
"Pine Bluff, AR","Education, Training, and Library",203.0
"Pine Bluff, AR",Transportation and Material Moving,235.0
"Pine Bluff, AR",Food Preparation and Serving Related,220.0
"Pine Bluff, AR",Sales and Related,261.0
"Pine Bluff, AR",Office and Administrative Support,406.0
"Cleveland, TN",Legal,8.0
"Cleveland, TN","Life, Physical, and Social Science",25.0
"Cleveland, TN","Arts, Design, Entertainment, Sports, and Media",28.0
"Cleveland, TN",Community and Social Service,71.0
"Cleveland, TN",Architecture and Engineering,69.0
"Cleveland, TN",Protective Service,65.0
"Cleveland, TN",Healthcare Support,107.0
"Cleveland, TN",Building and Grounds Cleaning and Maintenance,104.0
"Cleveland, TN",Computer and Mathematical,25.0
"Cleveland, TN",Personal Care and Service,87.0
"Cleveland, TN","Installation, Maintenance, and Repair",169.0
"Cleveland, TN",Construction and Extraction,124.0
"Cleveland, TN",Management,175.0
"Cleveland, TN",Business and Financial Operations,82.0
"Cleveland, TN",Production,0.0
"Cleveland, TN",Healthcare Practitioners and Technical,237.0
"Cleveland, TN","Education, Training, and Library",294.0
"Cleveland, TN",Transportation and Material Moving,0.0
"Cleveland, TN",Food Preparation and Serving Related,451.0
"Cleveland, TN",Sales and Related,418.0
"Cleveland, TN",Office and Administrative Support,577.0
"Homosassa Springs, FL",Legal,10.0
"Homosassa Springs, FL","Life, Physical, and Social Science",0.0
"Homosassa Springs, FL","Arts, Design, Entertainment, Sports, and Media",11.0
"Homosassa Springs, FL",Community and Social Service,36.0
"Homosassa Springs, FL",Architecture and Engineering,14.0
"Homosassa Springs, FL",Protective Service,85.0
"Homosassa Springs, FL",Healthcare Support,164.0
"Homosassa Springs, FL",Building and Grounds Cleaning and Maintenance,150.0
"Homosassa Springs, FL",Computer and Mathematical,25.0
"Homosassa Springs, FL",Personal Care and Service,115.0
"Homosassa Springs, FL","Installation, Maintenance, and Repair",173.0
"Homosassa Springs, FL",Construction and Extraction,227.0
"Homosassa Springs, FL",Management,62.0
"Homosassa Springs, FL",Business and Financial Operations,97.0
"Homosassa Springs, FL",Production,79.0
"Homosassa Springs, FL",Healthcare Practitioners and Technical,317.0
"Homosassa Springs, FL","Education, Training, and Library",182.0
"Homosassa Springs, FL",Transportation and Material Moving,124.0
"Homosassa Springs, FL",Food Preparation and Serving Related,384.0
"Homosassa Springs, FL",Sales and Related,433.0
"Homosassa Springs, FL",Office and Administrative Support,484.0
"Corvallis, OR",Legal,0.0
"Corvallis, OR","Life, Physical, and Social Science",122.0
"Corvallis, OR","Arts, Design, Entertainment, Sports, and Media",46.0
"Corvallis, OR",Community and Social Service,66.0
"Corvallis, OR",Architecture and Engineering,87.0
"Corvallis, OR",Protective Service,0.0
"Corvallis, OR",Healthcare Support,118.0
"Corvallis, OR",Building and Grounds Cleaning and Maintenance,119.0
"Corvallis, OR",Computer and Mathematical,151.0
"Corvallis, OR",Personal Care and Service,135.0
"Corvallis, OR","Installation, Maintenance, and Repair",85.0
"Corvallis, OR",Construction and Extraction,83.0
"Corvallis, OR",Management,179.0
"Corvallis, OR",Business and Financial Operations,133.0
"Corvallis, OR",Production,133.0
"Corvallis, OR",Healthcare Practitioners and Technical,243.0
"Corvallis, OR","Education, Training, and Library",319.0
"Corvallis, OR",Transportation and Material Moving,102.0
"Corvallis, OR",Food Preparation and Serving Related,388.0
"Corvallis, OR",Sales and Related,254.0
"Corvallis, OR",Office and Administrative Support,436.0
"Gettysburg, PA",Legal,6.0
"Gettysburg, PA","Life, Physical, and Social Science",14.0
"Gettysburg, PA","Arts, Design, Entertainment, Sports, and Media",33.0
"Gettysburg, PA",Community and Social Service,52.0
"Gettysburg, PA",Architecture and Engineering,24.0
"Gettysburg, PA",Protective Service,56.0
"Gettysburg, PA",Healthcare Support,98.0
"Gettysburg, PA",Building and Grounds Cleaning and Maintenance,121.0
"Gettysburg, PA",Computer and Mathematical,29.0
"Gettysburg, PA",Personal Care and Service,106.0
"Gettysburg, PA","Installation, Maintenance, and Repair",147.0
"Gettysburg, PA",Construction and Extraction,119.0
"Gettysburg, PA",Management,99.0
"Gettysburg, PA",Business and Financial Operations,83.0
"Gettysburg, PA",Production,428.0
"Gettysburg, PA",Healthcare Practitioners and Technical,149.0
"Gettysburg, PA","Education, Training, and Library",224.0
"Gettysburg, PA",Transportation and Material Moving,284.0
"Gettysburg, PA",Food Preparation and Serving Related,421.0
"Gettysburg, PA",Sales and Related,266.0
"Gettysburg, PA",Office and Administrative Support,465.0
"Sierra Vista-Douglas, AZ",Legal,12.0
"Sierra Vista-Douglas, AZ","Life, Physical, and Social Science",40.0
"Sierra Vista-Douglas, AZ","Arts, Design, Entertainment, Sports, and Media",24.0
"Sierra Vista-Douglas, AZ",Community and Social Service,32.0
"Sierra Vista-Douglas, AZ",Architecture and Engineering,63.0
"Sierra Vista-Douglas, AZ",Protective Service,244.0
"Sierra Vista-Douglas, AZ",Healthcare Support,65.0
"Sierra Vista-Douglas, AZ",Building and Grounds Cleaning and Maintenance,91.0
"Sierra Vista-Douglas, AZ",Computer and Mathematical,176.0
"Sierra Vista-Douglas, AZ",Personal Care and Service,115.0
"Sierra Vista-Douglas, AZ","Installation, Maintenance, and Repair",111.0
"Sierra Vista-Douglas, AZ",Construction and Extraction,98.0
"Sierra Vista-Douglas, AZ",Management,199.0
"Sierra Vista-Douglas, AZ",Business and Financial Operations,235.0
"Sierra Vista-Douglas, AZ",Production,59.0
"Sierra Vista-Douglas, AZ",Healthcare Practitioners and Technical,139.0
"Sierra Vista-Douglas, AZ","Education, Training, and Library",266.0
"Sierra Vista-Douglas, AZ",Transportation and Material Moving,124.0
"Sierra Vista-Douglas, AZ",Food Preparation and Serving Related,316.0
"Sierra Vista-Douglas, AZ",Sales and Related,296.0
"Sierra Vista-Douglas, AZ",Office and Administrative Support,537.0
"Pocatello, ID",Legal,20.0
"Pocatello, ID","Life, Physical, and Social Science",33.0
"Pocatello, ID","Arts, Design, Entertainment, Sports, and Media",37.0
"Pocatello, ID",Community and Social Service,89.0
"Pocatello, ID",Architecture and Engineering,52.0
"Pocatello, ID",Protective Service,59.0
"Pocatello, ID",Healthcare Support,94.0
"Pocatello, ID",Building and Grounds Cleaning and Maintenance,130.0
"Pocatello, ID",Computer and Mathematical,41.0
"Pocatello, ID",Personal Care and Service,131.0
"Pocatello, ID","Installation, Maintenance, and Repair",125.0
"Pocatello, ID",Construction and Extraction,123.0
"Pocatello, ID",Management,189.0
"Pocatello, ID",Business and Financial Operations,149.0
"Pocatello, ID",Production,122.0
"Pocatello, ID",Healthcare Practitioners and Technical,205.0
"Pocatello, ID","Education, Training, and Library",304.0
"Pocatello, ID",Transportation and Material Moving,139.0
"Pocatello, ID",Food Preparation and Serving Related,313.0
"Pocatello, ID",Sales and Related,341.0
"Pocatello, ID",Office and Administrative Support,571.0
"Bay City, MI",Legal,15.0
"Bay City, MI","Life, Physical, and Social Science",16.0
"Bay City, MI","Arts, Design, Entertainment, Sports, and Media",31.0
"Bay City, MI",Community and Social Service,67.0
"Bay City, MI",Architecture and Engineering,30.0
"Bay City, MI",Protective Service,50.0
"Bay City, MI",Healthcare Support,186.0
"Bay City, MI",Building and Grounds Cleaning and Maintenance,93.0
"Bay City, MI",Computer and Mathematical,0.0
"Bay City, MI",Personal Care and Service,90.0
"Bay City, MI","Installation, Maintenance, and Repair",180.0
"Bay City, MI",Construction and Extraction,92.0
"Bay City, MI",Management,130.0
"Bay City, MI",Business and Financial Operations,106.0
"Bay City, MI",Production,278.0
"Bay City, MI",Healthcare Practitioners and Technical,252.0
"Bay City, MI","Education, Training, and Library",177.0
"Bay City, MI",Transportation and Material Moving,209.0
"Bay City, MI",Food Preparation and Serving Related,431.0
"Bay City, MI",Sales and Related,414.0
"Bay City, MI",Office and Administrative Support,487.0
"Midland, MI",Legal,10.0
"Midland, MI","Life, Physical, and Social Science",0.0
"Midland, MI","Arts, Design, Entertainment, Sports, and Media",40.0
"Midland, MI",Community and Social Service,39.0
"Midland, MI",Architecture and Engineering,66.0
"Midland, MI",Protective Service,44.0
"Midland, MI",Healthcare Support,107.0
"Midland, MI",Building and Grounds Cleaning and Maintenance,155.0
"Midland, MI",Computer and Mathematical,57.0
"Midland, MI",Personal Care and Service,125.0
"Midland, MI","Installation, Maintenance, and Repair",115.0
"Midland, MI",Construction and Extraction,188.0
"Midland, MI",Management,179.0
"Midland, MI",Business and Financial Operations,180.0
"Midland, MI",Production,317.0
"Midland, MI",Healthcare Practitioners and Technical,251.0
"Midland, MI","Education, Training, and Library",225.0
"Midland, MI",Transportation and Material Moving,134.0
"Midland, MI",Food Preparation and Serving Related,277.0
"Midland, MI",Sales and Related,336.0
"Midland, MI",Office and Administrative Support,554.0
"Sumter, SC",Legal,15.0
"Sumter, SC","Life, Physical, and Social Science",23.0
"Sumter, SC","Arts, Design, Entertainment, Sports, and Media",12.0
"Sumter, SC",Community and Social Service,0.0
"Sumter, SC",Architecture and Engineering,38.0
"Sumter, SC",Protective Service,114.0
"Sumter, SC",Healthcare Support,144.0
"Sumter, SC",Building and Grounds Cleaning and Maintenance,146.0
"Sumter, SC",Computer and Mathematical,43.0
"Sumter, SC",Personal Care and Service,88.0
"Sumter, SC","Installation, Maintenance, and Repair",171.0
"Sumter, SC",Construction and Extraction,158.0
"Sumter, SC",Management,139.0
"Sumter, SC",Business and Financial Operations,98.0
"Sumter, SC",Production,408.0
"Sumter, SC",Healthcare Practitioners and Technical,205.0
"Sumter, SC","Education, Training, and Library",197.0
"Sumter, SC",Transportation and Material Moving,285.0
"Sumter, SC",Food Preparation and Serving Related,341.0
"Sumter, SC",Sales and Related,367.0
